"University.Name","University.City","University.State","Admission.Rate","SAT.Average","SAT.Reading.Mid","SAT.Math.Mid","ACT.Cumulative.Average","Undergraduate.Enrollment","Average.Cost.per.Academic.Year","In.State.Tuition.and.Fees","Out.of.State.Tuition.and.Fees","Completion.Rate..4.year.institutions","Completion.Rate.17_18","Comp.Rate.17_18.BIN","Region","Size"
"Edgewood College","Madison","WI",76.22,1048,360,565,23,1863,36879,25590,25590,0.62,0.61,"High","North Central","Medium"
"Lakeland University","Plymouth","WI",54.7,949,440,452,20,2262,34385,24090,24090,0.53,0.59,"Medium","North Central","Medium"
"Marquette University","Milwaukee","WI",66.71,1220,590,605,27,8212,48364,35930,35930,0.79,0.8,"High","North Central","Large"
"Milwaukee School of Engineering","Milwaukee","WI",68.65,1243,565,630,28,2592,45260,35520,35520,0.56,0.67,"High","North Central","Medium"
"Northland College","Ashland","WI",63.43,1085,544,520,24,575,40765,31480,31480,0.46,0.24,"Low","North Central","Very Small"
"Ripon College","Ripon","WI",67.45,1108,565,575,24,820,42703,33482,33482,0.68,0.68,"High","North Central","Very Small"
"Viterbo University","La Crosse","WI",69.14,1089,535,510,24,2019,34310,23790,23790,0.48,0.55,"Medium","North Central","Medium"
"University of Wisconsin-Whitewater","Whitewater","WI",81.79,1050,495,480,23,10533,16950,7600,15173,0.58,0.24,"Low","North Central","Very Large"
"Wisconsin Lutheran College","Milwaukee","WI",84.29,1079,475,525,24,1060,35337,25960,25960,0.61,0.67,"High","North Central","Small"
"University of Wisconsin-Madison","Madison","WI",56.94,1286,610,680,29,29302,23839,10410,26660,0.84,0.87,"High","North Central","Very Large"
"University of Wyoming","Laramie","WY",97.66,1118,535,540,25,9910,18145,4646,14876,0.54,0.58,"Medium","West","Very Large"
"Stanford University","Stanford","CA",5.09,1465,730,745,33,7018,60311,45195,45195,0.95,0.94,"High","West","Large"
"Purdue University-Main Campus","West Lafayette","IN",59.29,1213,575,630,27,29977,22879,10002,28804,0.73,0.78,"High","North Central","Very Large"
"New College of Florida","Sarasota","FL",59.87,1274,665,615,28,834,19858,6916,29944,0.69,0.65,"High","South","Very Small"
"California State University-San Marcos","San Marcos","CA",61.8,948,475,480,20,11506,17692,7169,18329,0.49,0.53,"Medium","West","Very Large"
"University of Washington-Bothell Campus","Bothell","WA",79.15,1009,490,525,21,4378,22747,11911,33030,0.67,0.64,"High","West","Large"
"University of Washington-Tacoma Campus","Tacoma","WA",84.52,979,485,495,21,3788,22120,12262,33381,0.55,0.58,"Medium","West","Large"
"Watkins College of Art Design & Film","Nashville","TN",26.36,1000,435,410,22,288,34118,20250,20250,0.4,0.38,"Low","South","Very Small"
"Soka University of America","Aliso Viejo","CA",43.46,1223,580,650,27,411,42076,30214,30214,0.79,0.94,"High","West","Very Small"
"Arizona State University-West","Glendale","AZ",77.8,1095,545,540,24,3280,20252,9683,23312,0.59,0.58,"Medium","West","Large"
"Arizona State University-Polytechnic","Mesa","AZ",76.73,1138,555,577,25,3726,21578,9683,23312,0.59,0.59,"Medium","West","Large"
"Florida Gulf Coast University","Fort Myers","FL",58.88,1059,530,520,23,13253,17539,6118,25162,0.49,0.48,"Medium","South","Very Large"
"University of Connecticut-Waterbury Campus","Waterbury","CT",65.83,1004,495,505,23,2272,13751,10658,30838,0.52,0.59,"Medium","Northeast","Medium"
"University of Connecticut-Avery Point","Groton","CT",63.92,1050,530,515,23,670,13942,10658,30838,0.54,0.58,"Medium","Northeast","Very Small"
"University of Connecticut-Stamford","Stamford","CT",56.85,1001,500,490,24,1336,13766,10668,30848,0.48,0.64,"High","Northeast","Small"
"The King's University","Southlake","TX",100,1016,540,490,21,473,22740,12390,12390,0.67,0.15,"Low","South","Very Small"
"Franklin W Olin College of Engineering","Needham","MA",12,1475,725,755,33,334,61956,46681,46681,0.95,0.91,"High","Northeast","Very Small"
"DigiPen Institute of Technology","Redmond","WA",64.88,1211,585,600,28,932,39035,27360,27360,0.54,0.43,"Medium","West","Very Small"
"University of California-Merced","Merced","CA",67.18,1031,500,520,23,5884,31883,13160,36038,0.64,0.64,"High","West","Large"
"Ave Maria University","Ave Maria","FL",51.7,1085,555,545,23,1019,36539,17940,17940,0.41,0.55,"Medium","South","Small"
"University of South Florida-St Petersburg","St. Petersburg","FL",35.34,1162,590,570,26,3829,18325,5821,16735,0.32,0.36,"Low","South","Large"
"Arizona State University-Downtown Phoenix","Phoenix","AZ",78.86,1083,535,540,24,9113,23298,10157,24503,0.58,0.66,"High","West","Very Large"
"Visible Music College","Memphis","TN",23.98,1031,500,510,23,112,32600,19600,19600,0.5,0.29,"Low","South","Very Small"
"The King's College","New York","NY",70.39,1127,580,530,25,482,48437,32300,32300,0.53,0.52,"Medium","Northeast","Very Small"
"John Paul the Great Catholic University","Escondido","CA",87.5,1086,555,520,24,195,41646,24900,24900,0.6,0.61,"High","West","Very Small"
"Pennsylvania State University-World Campus","University Park","PA",58.08,1040,510,505,25,5736,26905,13516,13516,0.25,0.28,"Low","Northeast","Large"
"Augusta University","Augusta","GA",76.54,1030,515,515,22,5030,13741,7326,21130,0.3,0.27,"Low","South","Large"
"University of North Georgia","Dahlonega","GA",69.48,1016,515,505,22,14976,15088,4551,13228,0.25,0.29,"Low","South","Very Large"
